MSO_Code,Device ID,Event Date,Event Time,Station Number,Program Code
01540,000000005b0a,20150104,164836,31226,SH018102790000
01540,000000005b0a,20150104,164842,99993,MP_MISSINGPROGRAM
01540,000000005b0a,20150104,164851,19746,SH013987750000
01540,000000005b0a,20150104,164900,24959,EP017200220020
01540,000000005b0a,20150104,164908,60179,SH015515540000
01540,000000005b0a,20150104,170000,60179,EP017943800060
01540,000000005b0a,20150104,174004,42599,EP000031281283
01540,000000005b0a,20150104,181049,60179,EP001777901015
01540,000000005b0a,20150104,191025,60179,SH003798320000
01540,000000005b0a,20150104,191059,42599,EP000031281283
01540,000000005b0a,20150104,193000,42599,SH007795570000
01540,000000005b0a,20150104,200000,42599,EP000186930566
01540,000000005b0a,20150104,200219,60179,SH010942060000
01540,000000005b0a,20150104,200519,36205,EP020732470002
01540,000000005b0a,20150104,200530,60179,SH010942060000
01540,000000005b0a,20150104,200544,46710,MV000436550000
01540,000000005b0a,20150104,205409,46710,MV000436550000
01540,000000005b0a,20150104,205528,36205,EP020732470002
01540,000000005b0a,20150104,210000,36205,EP010883320121
01540,000000005b0a,20150104,210058,99993,MP_MISSINGPROGRAM
01540,000000005b0a,20150104,210104,36205,EP010883320121
01540,000000005b0a,20150104,220600,36205,SH020325450000
01540,000000005b0a,20150104,221207,50747,EP017584510073
01540,000000005b0a,20150104,221429,66268,MV006650740000
01540,000000005b0a,20150104,221524,46710,MV000446250000
01540,000000005b0a,20150104,230000,46710,MV000469760000
01540,000000005b0a,20150104,230026,46710,MV000469760000
01540,000000005b0a,20150104,231600,46710,MV000469760000
01540,000000005b0a,20150104,231619,10179,EP000009937448
01540,000000005b3e,20150104,000000,58515,MV001396250000
01540,000000005b3e,20150104,023000,58515,MV001522110000
01540,000000005b3e,20150104,043000,58515,EP000028040039
01540,000000005b3e,20150104,050000,58515,EP000028040041
01540,000000005b3e,20150104,053000,58515,EP000028040139
01540,000000005b3e,20150104,060000,58515,EP001151270224
01540,000000005b3e,20150104,063000,58515,EP001151270226
01540,000000005b3e,20150104,070000,58515,EP001151270225
01540,000000005b3e,20150104,073000,58515,EP001151270227
01540,000000005b3e,20150104,080000,58515,MV001816270000
01540,000000005b3e,20150104,103000,58515,MV002242150000
01540,000000005b3e,20150104,121500,58515,MV001173170000
01540,000000005b3e,20150104,141500,58515,MV001214800000
01540,000000005b3e,20150104,163821,19600,EP000031281283
01540,000000005b3e,20150104,163843,11486,SH020257410000
01540,000000005b3e,20150104,163853,19600,EP000031281283
01540,000000005b3e,20150104,170000,11486,EP017476850078
01540,000000005b3e,20150104,173000,11486,SH004402120000
01540,000000005b3e,20150104,180000,11486,SH009660350000
01540,000000005b3e,20150104,183000,11486,EP017558650140
01540,000000005b3e,20150104,190000,11486,EP019224360002
